s_id,r_id,o_id,confidence,source
164,3,4,1.0,extracted
164,2,6,1.0,extracted
164,2,7,1.0,extracted
164,3,8,1.0,extracted
166,0,167,1.0,extracted
166,1,2,1.0,extracted
166,2,3,1.0,extracted
166,3,4,1.0,extracted
166,2,6,1.0,extracted
166,2,7,1.0,extracted
166,3,8,1.0,extracted
168,0,169,1.0,extracted
168,2,71,1.0,extracted
168,2,6,1.0,extracted
168,2,7,1.0,extracted
170,0,171,1.0,extracted
170,1,2,1.0,extracted
170,2,3,1.0,extracted
170,2,71,1.0,extracted
170,4,172,1.0,extracted
170,2,6,1.0,extracted
170,4,28,1.0,extracted
170,2,7,1.0,extracted
173,0,174,1.0,extracted
173,1,2,1.0,extracted
173,2,3,1.0,extracted
173,2,71,1.0,extracted
173,4,172,1.0,extracted
173,2,6,1.0,extracted
173,4,28,1.0,extracted
173,2,7,1.0,extracted
175,0,176,1.0,extracted
175,1,2,1.0,extracted
175,4,17,1.0,extracted
177,0,178,1.0,extracted
177,1,2,1.0,extracted
177,4,17,1.0,extracted
179,0,180,1.0,extracted
179,1,2,1.0,extracted
179,3,4,1.0,extracted
179,2,5,1.0,extracted
179,2,39,1.0,extracted
181,0,182,1.0,extracted
181,1,2,1.0,extracted
181,3,4,1.0,extracted
181,2,5,1.0,extracted
181,2,39,1.0,extracted
183,0,184,1.0,extracted
183,1,2,1.0,extracted
183,2,3,1.0,extracted
183,4,185,1.0,extracted
183,2,27,1.0,extracted
183,3,4,1.0,extracted
183,4,40,1.0,extracted
183,4,186,1.0,extracted
183,2,7,1.0,extracted
187,0,188,1.0,extracted
187,1,2,1.0,extracted
187,2,3,1.0,extracted
187,4,185,1.0,extracted
187,2,27,1.0,extracted
187,3,4,1.0,extracted
187,4,40,1.0,extracted
187,4,186,1.0,extracted
187,2,7,1.0,extracted
189,0,190,1.0,extracted
189,1,2,1.0,extracted
189,3,4,1.0,extracted
189,4,28,1.0,extracted
189,3,8,1.0,extracted
191,0,192,1.0,extracted
191,1,2,1.0,extracted
191,2,3,1.0,extracted
191,4,95,1.0,extracted
191,2,6,1.0,extracted
191,2,7,1.0,extracted
193,0,194,1.0,extracted
193,1,2,1.0,extracted
193,2,3,1.0,extracted
193,4,95,1.0,extracted
193,2,6,1.0,extracted
193,2,7,1.0,extracted
195,0,196,1.0,extracted
195,1,2,1.0,extracted
197,0,198,1.0,extracted
197,1,2,1.0,extracted
199,0,200,1.0,extracted
199,1,2,1.0,extracted
199,2,3,1.0,extracted
199,2,7,1.0,extracted
201,0,202,1.0,extracted
201,1,2,1.0,extracted
201,2,3,1.0,extracted
201,2,37,1.0,extracted
201,4,17,1.0,extracted
201,2,27,1.0,extracted
201,4,172,1.0,extracted
201,2,5,1.0,extracted
201,4,40,1.0,extracted
201,2,6,1.0,extracted
201,2,7,1.0,extracted
203,0,204,1.0,extracted
203,1,2,1.0,extracted
203,2,3,1.0,extracted
203,2,71,1.0,extracted
203,4,172,1.0,extracted
203,2,6,1.0,extracted
203,2,72,1.0,extracted
203,2,7,1.0,extracted
203,2,121,1.0,extracted
205,0,206,1.0,extracted
205,1,2,1.0,extracted
205,2,3,1.0,extracted
205,2,71,1.0,extracted
205,4,172,1.0,extracted
205,2,6,1.0,extracted
205,2,72,1.0,extracted
205,2,7,1.0,extracted
205,2,121,1.0,extracted
207,0,208,1.0,extracted
207,1,2,1.0,extracted
207,2,3,1.0,extracted
207,2,18,1.0,extracted
207,2,72,1.0,extracted
207,2,7,1.0,extracted
209,0,210,1.0,extracted
209,1,2,1.0,extracted
209,2,3,1.0,extracted
209,2,18,1.0,extracted
209,2,72,1.0,extracted
209,2,7,1.0,extracted
211,0,212,1.0,extracted
211,1,2,1.0,extracted
213,0,214,1.0,extracted
213,1,2,1.0,extracted
215,0,216,1.0,extracted
215,1,2,1.0,extracted
215,2,7,1.0,extracted
217,0,218,1.0,extracted
217,1,2,1.0,extracted
217,2,7,1.0,extracted
219,0,220,1.0,extracted
219,1,2,1.0,extracted
219,2,3,1.0,extracted
219,4,95,1.0,extracted
219,2,7,1.0,extracted
221,0,222,1.0,extracted
221,1,2,1.0,extracted
221,2,3,1.0,extracted
221,4,95,1.0,extracted
221,2,7,1.0,extracted
223,0,224,1.0,extracted
223,1,2,1.0,extracted
223,2,71,1.0,extracted
223,2,6,1.0,extracted
223,2,225,1.0,extracted
223,2,7,1.0,extracted
223,2,121,1.0,extracted
226,0,227,1.0,extracted
226,1,2,1.0,extracted
226,2,71,1.0,extracted
226,2,6,1.0,extracted
226,2,225,1.0,extracted
226,2,7,1.0,extracted
226,2,121,1.0,extracted
228,0,229,1.0,extracted
228,1,2,1.0,extracted
228,2,3,1.0,extracted
228,3,4,1.0,extracted
228,2,6,1.0,extracted
228,2,7,1.0,extracted
228,3,8,1.0,extracted
230,0,231,1.0,extracted
230,1,2,1.0,extracted
230,2,3,1.0,extracted
230,3,4,1.0,extracted
230,2,6,1.0,extracted
230,2,7,1.0,extracted
230,3,8,1.0,extracted
232,0,233,1.0,extracted
232,1,2,1.0,extracted
232,2,3,1.0,extracted
232,3,4,1.0,extracted
232,2,6,1.0,extracted
232,2,7,1.0,extracted
232,3,8,1.0,extracted
234,0,235,1.0,extracted
234,1,2,1.0,extracted
234,2,3,1.0,extracted
234,3,4,1.0,extracted
234,2,6,1.0,extracted
234,2,7,1.0,extracted
234,3,8,1.0,extracted
236,0,237,1.0,extracted
236,1,2,1.0,extracted
236,2,3,1.0,extracted
236,2,18,1.0,extracted
236,2,6,1.0,extracted
236,2,7,1.0,extracted
238,0,239,1.0,extracted
238,1,2,1.0,extracted
238,2,3,1.0,extracted
238,2,18,1.0,extracted
238,2,6,1.0,extracted
238,2,7,1.0,extracted
240,0,241,1.0,extracted
240,1,2,1.0,extracted
240,3,4,1.0,extracted
240,3,8,1.0,extracted
242,0,243,1.0,extracted
242,1,2,1.0,extracted
242,3,4,1.0,extracted
242,3,8,1.0,extracted
244,0,245,1.0,extracted
244,1,2,1.0,extracted
244,2,3,1.0,extracted
244,2,6,1.0,extracted
244,3,246,1.0,extracted
247,0,248,1.0,extracted
247,1,2,1.0,extracted
247,2,3,1.0,extracted
247,2,6,1.0,extracted
247,3,246,1.0,extracted
249,0,250,1.0,extracted
249,1,2,1.0,extracted
249,2,3,1.0,extracted
249,2,18,1.0,extracted
249,2,6,1.0,extracted
249,2,7,1.0,extracted
251,0,252,1.0,extracted
251,1,2,1.0,extracted
251,2,3,1.0,extracted
251,2,18,1.0,extracted
251,2,6,1.0,extracted
251,2,7,1.0,extracted
253,0,254,1.0,extracted
253,1,2,1.0,extracted
253,2,7,1.0,extracted
253,3,8,1.0,extracted
255,0,256,1.0,extracted
255,1,2,1.0,extracted
255,2,7,1.0,extracted
255,3,8,1.0,extracted
257,0,258,1.0,extracted
257,1,2,1.0,extracted
257,2,3,1.0,extracted
257,3,4,1.0,extracted
257,2,6,1.0,extracted
257,2,72,1.0,extracted
257,2,7,1.0,extracted
259,0,260,1.0,extracted
259,1,2,1.0,extracted
259,2,3,1.0,extracted
259,3,4,1.0,extracted
259,2,6,1.0,extracted
259,2,72,1.0,extracted
259,2,7,1.0,extracted
261,0,262,1.0,extracted
261,2,3,1.0,extracted
261,4,17,1.0,extracted
261,4,70,1.0,extracted
261,2,6,1.0,extracted
261,2,7,1.0,extracted
261,4,263,1.0,extracted
264,0,265,1.0,extracted
264,2,3,1.0,extracted
264,4,17,1.0,extracted
264,4,70,1.0,extracted
264,2,6,1.0,extracted
264,2,7,1.0,extracted
264,4,263,1.0,extracted
266,0,267,1.0,extracted
266,1,2,1.0,extracted
266,2,3,1.0,extracted
266,2,18,1.0,extracted
266,2,6,1.0,extracted
266,4,28,1.0,extracted
266,2,7,1.0,extracted
268,0,269,1.0,extracted
268,1,2,1.0,extracted
268,2,3,1.0,extracted
268,2,18,1.0,extracted
268,2,6,1.0,extracted
268,4,28,1.0,extracted
268,2,7,1.0,extracted
270,0,271,1.0,extracted
270,1,2,1.0,extracted
270,2,3,1.0,extracted
270,3,4,1.0,extracted
270,2,6,1.0,extracted
270,2,7,1.0,extracted
270,3,8,1.0,extracted
272,0,273,1.0,extracted
272,1,2,1.0,extracted
272,2,3,1.0,extracted
272,3,4,1.0,extracted
272,2,6,1.0,extracted
272,2,7,1.0,extracted
272,3,8,1.0,extracted
274,0,275,1.0,extracted
274,1,2,1.0,extracted
274,2,3,1.0,extracted
274,2,37,1.0,extracted
274,4,172,1.0,extracted
274,2,7,1.0,extracted
274,2,41,1.0,extracted
276,0,277,1.0,extracted
276,1,2,1.0,extracted
276,2,3,1.0,extracted
276,2,37,1.0,extracted
276,4,172,1.0,extracted
276,2,7,1.0,extracted
276,2,41,1.0,extracted
278,0,279,1.0,extracted
278,1,2,1.0,extracted
278,2,3,1.0,extracted
278,2,37,1.0,extracted
278,4,172,1.0,extracted
278,2,7,1.0,extracted
278,2,41,1.0,extracted
280,0,281,1.0,extracted
280,1,2,1.0,extracted
